book_id,title,author,isbn,publication_year,genre,total_copies,available_copies
59dc7063-d6ff-42a6-b276-4e7ecee9a335,Journey Through Heartsongs,"Stepanek, Mattie J. T.",,2001,Poetry,5,5
4f1e4d63-bedd-45aa-a0d7-89021f59ab23,In Search of Melancholy Baby,"Aksyonov, Vassily, Heim, Michael Henry, and Bouis, Antonina W.",,1987,Biography & Autobiography,5,5
71f1db5f-e277-4174-8eac-757070eaa3b3,The Dieter's Guide to Weight Loss During Sex,"Smith, Richard",,1978,Health & Fitness,5,5
886c0cb0-c4af-4c90-987c-832de72d0e2c,Germs : Biological Weapons and America's Secret War,"Miller, Judith, Engelberg, Stephen, and Broad, William J.",,2001,Technology & Engineering,5,5
bca4db74-c220-4c39-a0e3-b88b2df7f707,The Good Book: Reading the Bible with Mind and Heart,"Gomes, Peter J.",,1998,Religion,5,5
429f913b-0d1e-4cf8-9f9c-68b5e2e23cac,All over but the Shoutin',"Bragg, Rick",,1998,Biography & Autobiography,5,5
ae2c1ecb-6fb2-48ab-8602-4dd51edd1f25,Hill Rat: Blowing the Lid Off Congress,"Jackley, John L.",,1992,Political Science,5,5
f03a5e34-ae37-45c2-9572-6086e28b9674,Personality of the Cat,"Aymar, Brandt (EDT)",,1978,Pets,5,5
db577304-6a9c-4a65-b8cd-9c1b1c3723fe,Betrayal : How the Clinton Administration Undermined American Security,"Gertz, Bill",,1999,Political Science,5,5
e1507f46-390b-4308-9704-f4ab6f240f93,Shadow Song,"Kay, Terry",,1994,Fiction,5,5
73aa4a4c-020e-4113-8de5-a826ac12c3c2,Codebreakers' Victory: How the Allied Cryptogaphers Won World War II,"Haufler, Hervie",,2003,History,5,5
3d9931b2-465f-4f33-9811-db5870d59d1f,Best New American Voices 2003,"Kulka, John (EDT), Danford, Natalie (EDT), and Oates, Joyce Carol (EDT)",,2002,Fiction,5,5
7e23c116-fe59-4542-a361-72add20eda7a,Meditations: On the Monk Who Dwells in Daily Life,"Moore, Thomas",,1994,Religion,5,5
5b3dbb54-906f-41ef-9534-47e033365dba,Jackie by Josie: A Novel,"Preston, Caroline",,1998,Fiction,5,5
6d47a26e-3e86-4ec4-9b5e-2b08ae04374e,Joshua and the City,"Girzone, Joseph F.",,1995,Religion,5,5
2390d069-d3ee-45c8-9373-006afb429d31,How Good Do We Have to Be? A New Understanding of Guilt and Forgiveness,"Kushner, Harold S.",,1997,Religion,5,5
deb1de11-37c1-42bf-b1d2-c3b1398a002a,Written by Herself: Autobiographies of American Women: An Anthology,"Conway, Jill Ker (EDT)",,1992,Biography & Autobiography,5,5
a3da8c8d-5a41-41e0-ac04-b40d8f3fd63f,George Meany And His Times: A Biography,"Robinson, Archie",,1982,Biography & Autobiography,5,5
036f146e-0b11-40ba-bcb2-c201232bc55b,Conflicting Accounts: The Creation and Crash of the Saatchi and Saatchi Advertising Empire,"Goldman, Kevin",,1998,Business & Economics,5,5
746f0c04-91b0-4764-92d3-dea83c54a6da,Panic Disorder and Its Treatment (Medical Psychiatry Series),"Pollack, Mark H. (EDT) and Rosenbaum, J. F. (EDT)",,1998,Psychology,5,5
a2978cb0-bc4f-4026-bac6-8586c4368527,Henry VIII (English Monarchs Series),"Scarisbrick, J. J.",,1972,Biography & Autobiography,5,5
c1a4d460-6610-470e-923a-1cc7397beb07,The Moral Intelligence of Children,"Coles, Robert",,1997,Psychology,5,5
89752595-2063-43bb-9cd4-9ebc5ecc4995,Becoming Soul Mates: Cultivating Spiritual Intimacy in the Early Years of Marriage,"Parrott, Les",,1995,Family & Relationships,5,5
7d959df1-e693-4840-b037-d998b0d4dff5,Care of the Soul : A Guide for Cultivating Depth and Sacredness in Everyday Life,"Moore, Thomas",,1994,Self-help,5,4
cfb4826c-cc5c-4f4b-abfa-b249dc1367a3,Inside the Tornado: Marketing Strategies from Silicon Valley's Cutting Edge,"Moore, Geoffrey A.",,1995,Business & Economics,5,5
4fbea6f2-86a9-43a5-a78e-4b4f3a53218b,Sunset at Rosalie: A Novel,"McLaughlin, Ann L.",,1996,Fiction,5,5
aa17ae69-a5ed-4702-871a-d4eecd8860df,"The Girlfriends' Guide to Surviving the First Year of Motherhood, Packaging May Vary","Iovine, Vicki",,1997,Family & Relationships,5,5
ab0a0bb0-582d-4a6f-92f2-fca2cb8bcf5c,"Sherlock Holmes and the Red Demon by John H. Watson, M.D.","Watson, John H. and Millett, Larry (EDT)",,1996,Fiction,5,5
d40ad8aa-4c93-464c-8052-6035a7bc0237,"New Lands, New Men","Goetzmann, William H.",,1986,Biography & Autobiography,5,5
5fe7e88f-131d-435a-bfb9-82939ebd78b4,Reinventing Government: How the Entrepreneurial Spirit is Transforming the Public Sector (Plume),"Osborne, David and Gaebler, Ted",,1993,Political Science,5,5
c03e8fc6-e0a1-487c-a8c6-c642b50c392d,Proverbs For The People,"Price-Thompson, Tracy (EDT) and Stovall, Taressa (EDT)",,2003,Fiction,5,5
890d9d72-b846-481b-a156-e6ad87c7b248,Re-Inventing the Corporation: Transforming Your Job and Your Company for the New Information Society,"Naisbitt, John and Aburdene, Patricia",,1985,Business & Economics,5,5
1bc76d9f-74a7-4ac7-bb96-491347ecccca,Elvis in the Morning,"Buckley, William F.",,2002,Fiction,5,5
2248c303-fab4-4d88-91b8-ca1a34bef25d,"Fat Free, Flavor Full: Dr. Gabe Mirkin's Guide to Losing Weight and Living Longer","Mirkin, Gabe and Rich, Diana",,1995,Health & Fitness,5,5
c4b609dc-ffce-486f-902e-6da09c59adca,ON THE WING: The Life of Birds: From Feathers to Flight,"Brooks, Bruce",,1989,Science,5,5
7f3f53c7-7cce-4673-806f-41a0d2da9ca1,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,"Mezrich, Ben",,2003,Games & Activities,5,5
d138d0f0-c264-44b7-bf6a-308aea800764,"Trust Me, Mom-Everyone Else Is Going!: The New Rules for Mothering Adolescent Girls","Cohen-Sandler, Roni, Ph.D.",,2003,Family & Relationships,5,5
a66265e4-1dd0-4e28-88a1-3bb1434a5f9e,The Quotable Ronald Reagan,"Reagan, Ronald and Hannaford, Peter",,1999,Reference,5,5
8ff76f6c-8a9d-4036-a046-261e331518e2,Leadership Is an Art,"De Pree, Max",,1990,Business & Economics,5,5
0a40a975-9fac-4a90-a3ae-6560aac515b8,Dark Fields of the Republic: Poems 1991-1995,"Rich, Adrienne Cecile",,1995,Poetry,5,5
66f65384-1cff-4431-a13f-a01d1326efeb,Creating an Inclusive School,"Villa, Richard A. (EDT) and Thousand, Jacqueline S. (EDT)",,1995,Education,5,5
b71e4420-12e2-40f8-bba2-508505b138d8,North Carolina Ghosts and Legends,"Roberts, Nancy",,1991,Social Science,5,5
4376d1f4-0b2d-42a6-9b09-6879fc7eb16c,Straight Talk about Death for Teenagers: How to Cope with Losing Someone You Love,"Grollman, Earl A.",,1993,Young Adult Nonfiction,5,5
dec0d819-3811-4bc6-b0c8-c1eb9785310b,Understanding Thomas Jefferson,"Halliday, E. M.",,2002,Biography & Autobiography,5,5
ad373906-57de-41bd-86ae-d37ca9747212,"Hey Mom! I'm Hungry!: Great-Tasting, Low-Fat, Easy Recipes to Feed Your Family","Powter, Susan",,1997,Cooking,5,5
484731c6-bf3f-4c60-8fb2-03a665b2cdf2,Going the Other Way: Lessons from a Life In and Out of Major League Baseball,"Bean, Billy and Bull, Chris",,2004,Sports & Recreation,5,5
d9ee35d8-fd99-4842-90f1-8e522e4986f1,Best Friends: The True Story of the World's Most Beloved Animal Sanctuary,"Glen, Samantha and Moore, Mary Tyler (INT)",,2001,Nature,5,5
42dd0ce0-b00d-4774-a1d3-0b1bff40651a,The Spiritual Life of Children,"Coles, Robert",,1991,Psychology,5,5
1365aafe-dee0-4ba0-993a-c7b24a9b7df7,Constancia and Other Stories for Virgins,"Fuentes, Carlos and Christensen, Thomas (TRN)",,1990,Fiction,5,5
fee4eb8d-6621-4fb5-92f4-7f2760f9f21a,Listening to Prozac: A Psychiatrist Explores Antidepressant Drugs and the Remaking of the Self,"Kramer, Peter D.",,1993,Psychology,5,5
600d04c4-0db3-4568-81ea-edee3c55d0c6,Life Stories,"Newbold, Heather (EDT)",,2000,Science,5,5
b19855a3-cb69-4e3d-a684-500578a78ba7,Remembering Main Street: An American Album,"Ross, Pat",,1994,History,5,5
